satisfaction_bucket,text
1,it marked on the google maps that the road is closed who updates your navigation all this while my kid waits at home
1,1the item was faulty its not the right game it falls under your not up to scratch no problem policy 2 your policy on dvds is if i change my mind i never asked to buy fifa12 for 48 your store held codwwii on the shelf and i have been mislead and inconvenienced
1,To top it off they lost our bags too - from reading other reviews it sounds like we got the 'full' BA experience.
1,dear fellow nigerian has defrauded me lied to me insulted me all see ehn i will end up traveling down to ur ikoyi office
1,Their unions are purposely delaying flights with phoney mechanical issues to disrupt operations.
1,it makes me sick dawg chipotle wild trash the disrespect is real brodie
1,Here is the description of my terrible experience with FlightNetwork: I needed to book round trip tickets to Copenhagen for 3 people.
1,Scolding me for an unsuitable solution when you haven't specified your full requirements isn't helpful.
1,"However, the real disaster was actually the coming back trip!!"
1,i hate your website tried multiple times in a booking and it will not continue to payment and hangs tried on all different browsers no choice but to book thru travel agent but exec line treats travel agency booking like pariah why
1,They offered NO direction or help other than asking people to leave the carge office.
1,and are playing games on delivery times and notifications one package delivery attempted wrong and another delivered wrong i guess metrics are more important than truth and customer service
1,need to fix whatever tf is going on w my phone i cant even listen to my music i pay for it i better be able to listen to it
1,since amazon cancelled my uk membership i am stuck with chetan bhagat in the literature section do you even know what literature is fuck
1,"And I, on the other hand, am extremely confused and frustrated that I can't speak to Aeromexico directly (or email them, for that matter)."
1,that is not true at all the regular price for 2 yrs is rs 89376 and the discounted price is rs 89376 if the promotional code was genuinely valid there would have been a 25 drop as claimed in the final discounted price so far running a fake sale i recvd an email offering 25 off on my next new purchase so i went over to bcoz i wanted a new domain and it seems that you are not offering a 25 discount at all cheap pr stunt i must say you will lose customers i tell you that one
1,The complete inability of anyone representing AA at the airport or on the phone to address the situation was beyond irresponsible.
1,Their security staff is rude and there is no concept of organized boarding at Heathrow.
1,I am taking a basic course on your programme and I find that the instructions are often vague to the point of incomprehensibility.
1,Well to be honest I have been finding for a while that the courses offered are stale and repetitive.
1,Everything that makes a fighting game good is not present in the least bit!
1,"SO, I am VERY disappointed with this stupid camera, and am looking FORWARD to breaking it so I can go and buy another NIKON COOLPIX, which, except for the lens issue (breaking with minor trauma), took great pictures, MOST of which WEREN'T blurry!!!!!!!!!!"
1,"All day, and if I keep having these kinds of problems with your company I'll just switch to one of your competitors."
1,i have been sent two counterfeit copies of and support was unable to assure a third copy would be genuine the offending 1 seller is still on the site and every attempt i make to leave a criticism regarding the counterfeit gets censored stop censoring me 2
1,i am having so much trouble with my apple id accepting my payment details i cannot download or update anything i am about to go to android this is horrible nothing is working for me
1,i checked but not clearly mentioned agwin charging almost 25 is more you need to look into this by the way i am cancelling the order if you u cannot help to resolve
1,"I have to wonder exactly who ticked the market research box ""Yes, please stop helping me pass the time with films and other entertainment and try to squeeze another $7.50 out of me instead""."
1,why should we be loyal to your airline yet again for an international flight youve placed me in a middle seat diamondmeansnothing
1,great ios11 upgrade trashed what was previously great iphone 7 battery life battery life chronic problem for
1,My long-haul economy class experience within the last two years: Singapore Airlines 777 is terrible.
1,awful service personell from check in desk in montreal worst ever
1,this recent update is not cool at all its playing up wid apps made my phone really slw regret it so much ios11 iphone7plus
1,i dont even wanna tweet anymore screw you fix this
1,What's the next move (besides obviously never flying with them again and advising everyone I know to do the same)?
1,"If you try to emulate his failed baggage policy, could I implore you to try and at least aim for his successful on time policy?"
1,"The airline should be ashamed to even put people on those planes, but clearly Delta does not care one iota about its passengers' comfort, even for long flights."
1,I am so furious now as they never informed me that this was part of the price they quoted to me!!
1,i hope you can help me becuse the way i am treated it is totally unacceptable
1,I just had the worst experience booking flights to Mexico with Interjet.
1,after 4 recaptcha i finally got to paywhat a bad user experience i got herenearly did not want to buy anymore
1,"I had used the useless flight tracker to get updated on the status of flight 558 and tracked the ""Airway Bill/Confirmation number"" to track as well."
1,We lost a whole day in Rome b/c Delta has no clue how to properly service their planes.
1,"Only to be told that they don't give insurance or cancellation advice on this number,you need to do it online!!!"
1,you have failed to install my internet for 2 days several phone calls in and i cant even get a manager incompetent wastedmyweekend
1,this new email change sucks hate it go back to old notfunctional
1,why do not your phones work i paid 14k for a phone that does not respond to anything
1,These were families with children waiting and this was an absurd way to handle the situation.
1,absolute joke after waiting all day for an order placed on friday on prime
1,I have been basically been robbed and this could have turned out alot worse than it did had i missed my connecting flight.
1,"The people in the cargo office were rude, unprofessional and dismissive."
1,I have locked them before check-in and my suitcase is the type that came with international lock that can be opened by international key in case the luggage would be spot checked by any airport authority so it should not be forced open in such manner!
1,And one of the United staff actually threatened me.
1,massively disappointed with two of your restaurants tonight
1,i hate you how hard is it to not put onions in my taco
1,will there be an update coming soon thats gonna fix my battery issues or should i just throw away the whole phone and use a pigeon
1,this is really the worst thing with amazon shame is this the way to deal with costumers day one only i raised this issue through mail infact no one told during my interaction with executives initially
1,The last time someone told me that they lied and I was on hold for at least a half hour.
1,"Had An eight night holiday which I cannot get to ,not to mention my return was also booked HIR - NAN - HNL Also on FIJI airways ... What a bunch of crooks"
1,"The employees are incompetenent, don't care and the airline is incapable of being trusted to transport an animal, child or anything of value."
1,"After speaking with an extremely unhelpful and rude supervisor, and explaining our situation, she said she would investigate further and disappeared, only to return 45 minutes later to again repeat there were no seats for us."
1,What is most frustrating is that there is no way to find a flight with two upgrade-able seats without calling AA -- and waiting through three minutes of canned drivel before we find a representative and go through the whole 'wanna' list with her.
1,I am flying Virgin Australia to Los Angeles and absolutely hate plane food (always have horrible stomach pains after eating it) Wanting to bring my own food on the plane but concerned with customs etc with what I can bring instead of paying large amounts of money for food beyond customs which is equally horrible.
1,The transit at Heathrow (a refueling and more passengers stop) was the most miserable experience in all our flying years....We would not recommend to anyone flying through Heathrow as transit passengers.
1,I am writing today to tell you how disappointed I am in your misleading business practices and disgusted I am with your customer support (a common thread in many reviews for your company).
1,"Once on board the plane I was put next to a small baby and on asking the cabin crew if I could be moved as I did not want to give the child my germs, I was rudely told that there was nothing they could do for me."
1,I should have known better than to book a low-cost flight through an agency...or at least through That agency!
1,Have other passengers had the bad luck of dealing with rude and unhelpful Qatar Airways staff?
1,"These puppies and family pets were left unattended in small crates for an unhealthy amount of time, neglected by American Airlines."
1,It took ages for them to pick up the phone and they kept quoting the new price but as soon as I agreed then they would pass me on to another person or cut the phone.
1,think well have enjoyed the chicken by the time we make our next visit thank you though x refusing to give a free plastic bag with a roast chicken as its wrapped so it doesnt leak meat residue in bag not good
1,very disappointed i was disconnected with no solution
1,this is how ups delivered my package out 800 of christmas money for my 5 children angry mommy
1,help me rt ok the boxes irritating i updated my phone what else do you want from me
1,not true unfortunately most passengers are still on the train and i am still standing its rammed front to back is that enough feedback for you
1,Every flight on AA that we've taken since the merger we could hear the flight attendants complaining and they could care less about the service.
1,no point know now service is cancalled now having to spend for alternative travel does not help my wallet seriously dang right disgusted that this happens every day seriously need to stop up your game here
1,Instead of being helpful and sympathetic the Australian staff working behind the counters sent me away 4 times to different counters to try and sort out my problem which took over an 1 1/2 hours.
1,I certainly paid enough for the ticket and don't see any reason to give more money for something that never cost money until now.
1,I also went on a few travel review sites seems that I am one of many people who have had a bad experience with this airline.
1,What is the point of customer care agents when they have to consult every question.
1,They forced us to check our bags or pay several hundred dollars to carry them on even though we had less then when we went down and the bags were standard carry size for any other airline.
1,the question is not about applying visa so disappointed on your online support
